Greg Walsh and Brian Fox
Number of States Expanded
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2            6.0            2.0            2.0           9.16            4.0            4.0
 4          22.26           4.12            4.0           44.2           8.05            8.0
 6          79.29           8.05           6.83         179.71          14.35          12.57
 8         212.98          17.22          11.43          538.4          29.26          18.45
10         597.34          37.83          17.15        1620.62          64.18          26.64
12         1563.2          89.52          30.01        5195.15         179.29           48.7
Number of States Generated
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2          17.96           6.96           6.96           27.7          12.88          12.88
 4          62.34          13.12          12.76         123.76          21.87          21.72
 6         218.22          24.33          20.72         493.24          41.83          36.91
 8         583.62           50.2          33.68        1473.87          81.25          50.12
10         1616.3         105.97          48.84        4425.28         176.45          71.93
12         4250.0         247.26          83.47       14172.15         492.01         131.84
Most Number of States In Memory
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2          12.96           5.96           5.96            3.0            3.0            3.0
 4          41.08           10.0           9.76            5.0            5.0            5.0
 6         136.41          17.28          14.87            7.0            7.0            7.0
 8         354.91          33.74          23.03            9.0            9.0            9.0
10         961.18          68.55          32.45           11.0           11.0           11.0
12        2516.77         154.84          53.76           13.0           13.0           13.0
